time_of_day,location_type,incidents,streetlights,police_patrol,crowd_level,distance_from_home,risk_level
night,isolated,8,yes,high,high,3.58,Medium
evening,rural,10,yes,high,low,2.2,Medium
afternoon,isolated,3,no,low,low,1.16,Medium
morning,urban,10,yes,medium,medium,1.98,Medium
night,rural,9,no,high,low,1.2,High
evening,rural,10,no,low,low,1.78,High
evening,rural,2,no,high,medium,2.29,Medium
afternoon,urban,6,yes,high,low,0.81,Low
afternoon,urban,9,no,high,low,2.18,High
morning,urban,7,yes,low,low,1.91,Medium
morning,urban,4,no,low,low,4.33,High
night,rural,3,yes,medium,low,4.92,High
night,urban,8,no,high,low,0.36,High
morning,rural,3,no,medium,medium,0.48,Low
afternoon,rural,7,yes,medium,medium,4.16,Medium
afternoon,urban,7,no,high,high,3.05,Medium
night,urban,6,yes,medium,low,1.02,High
night,isolated,10,no,high,medium,4.22,High
morning,isolated,7,no,high,high,4.96,Medium
evening,isolated,0,yes,medium,low,0.56,Low
afternoon,isolated,3,no,medium,medium,4.21,Medium
morning,isolated,7,no,low,high,0.52,Medium
morning,urban,3,no,high,medium,2.18,Low
afternoon,urban,3,yes,medium,high,4.28,Low
night,urban,10,yes,high,low,4.77,High
night,urban,9,no,medium,high,4.33,High
evening,isolated,9,yes,low,low,1.94,High
afternoon,isolated,7,no,low,medium,3.68,High
afternoon,rural,10,no,medium,high,4.97,High
evening,rural,0,yes,low,medium,0.59,Low
evening,urban,6,no,medium,low,4.85,High
evening,urban,2,yes,low,medium,2.62,Medium
afternoon,rural,6,yes,low,low,1.15,Medium
afternoon,isolated,7,no,high,low,3.44,High
evening,isolated,7,yes,low,low,3.85,High
evening,urban,7,no,low,medium,2.82,High
morning,isolated,9,no,medium,medium,1.49,Medium
morning,isolated,9,no,medium,medium,3.32,High
night,rural,4,yes,low,medium,1.25,Medium
evening,urban,9,no,high,high,3.85,High
night,rural,10,yes,medium,low,4.03,High
evening,urban,4,yes,medium,high,4.14,Medium
afternoon,urban,7,yes,medium,medium,4.94,Medium
night,urban,5,no,medium,low,0.99,High
night,rural,8,no,medium,low,3.19,High
evening,urban,3,yes,low,high,4.59,Medium
evening,rural,8,yes,low,high,1.82,Medium
afternoon,isolated,8,yes,high,medium,3.07,Medium
night,rural,5,no,low,low,4.73,High
afternoon,rural,6,no,low,low,0.96,High
morning,isolated,3,no,high,high,3.21,Low
night,isolated,5,yes,medium,high,1.31,Medium
evening,urban,3,no,low,low,2.77,High
afternoon,rural,10,yes,low,low,1.39,Medium
evening,isolated,2,no,low,high,0.95,Medium
afternoon,isolated,9,no,low,low,1.12,High
evening,isolated,7,no,high,medium,0.37,Medium
evening,urban,7,yes,low,high,1.17,Medium
afternoon,rural,3,no,medium,high,4.52,Medium
evening,rural,0,yes,high,medium,0.84,Low
evening,isolated,5,no,high,low,4.94,High
evening,urban,5,no,low,high,2.6,Medium
night,isolated,6,no,medium,high,4.44,High
morning,urban,5,yes,high,medium,1.12,Low
morning,urban,6,yes,high,high,2.27,Low
night,urban,5,no,medium,high,1.85,Medium
evening,isolated,6,yes,low,high,2.47,Medium
night,rural,7,no,low,high,3.26,High
afternoon,rural,3,yes,low,medium,1.14,Low
evening,rural,1,yes,high,high,2.54,Low
morning,urban,9,yes,high,high,1.7,Low
night,urban,0,yes,high,high,3.9,Medium
night,rural,0,yes,high,low,1.82,Medium
afternoon,urban,7,yes,high,low,1.01,Low
morning,isolated,1,yes,low,high,1.17,Low
afternoon,rural,4,no,high,medium,3.82,Medium
evening,rural,3,yes,low,medium,3.81,Medium
night,urban,10,no,medium,high,3.84,High
night,urban,4,no,low,high,4.16,High
afternoon,urban,8,no,high,high,3.18,Medium
afternoon,urban,10,yes,low,medium,3.42,High
afternoon,urban,6,yes,low,high,0.5,Low
evening,rural,0,yes,low,high,2.83,Low
morning,isolated,5,yes,high,high,0.27,Low
night,rural,3,no,high,low,2.14,High
morning,isolated,5,no,high,low,0.86,Medium
afternoon,rural,0,yes,high,medium,2.34,Low
evening,isolated,6,yes,high,high,1.42,Low
evening,rural,10,no,medium,high,1.41,Medium
night,rural,6,no,high,medium,0.79,High
morning,urban,5,no,low,low,3.72,High
afternoon,rural,8,yes,high,high,4.85,Low
evening,rural,6,no,medium,low,1.57,High
evening,urban,6,no,low,medium,1.36,High
morning,isolated,7,yes,medium,high,1.36,Low
afternoon,rural,9,yes,low,high,3.32,Medium
morning,isolated,9,yes,low,high,1.33,Medium
afternoon,rural,1,yes,medium,medium,4.26,Low
evening,isolated,8,no,high,high,3.84,Medium
night,rural,5,no,medium,medium,2.13,High
evening,isolated,0,yes,high,medium,3.68,Low
evening,isolated,4,no,low,medium,2.85,High
morning,urban,2,no,low,medium,1.03,Medium
morning,isolated,9,no,high,medium,2.74,Medium
evening,urban,4,no,low,low,4.02,High
night,urban,3,no,low,high,2.28,High
afternoon,urban,10,no,low,low,0.9,High
afternoon,urban,2,yes,high,high,2.34,Low
evening,isolated,10,yes,medium,medium,3.68,High
afternoon,rural,9,yes,low,low,4.25,High
morning,urban,0,yes,high,low,4.22,Low
evening,urban,5,yes,medium,low,3.24,Medium
night,rural,5,yes,low,high,4.29,High
night,urban,0,yes,low,low,0.71,Medium
afternoon,urban,3,no,low,medium,3.14,Medium
afternoon,urban,1,no,low,medium,2.66,Medium
morning,urban,2,no,low,medium,2.41,Medium
night,rural,7,yes,medium,medium,1.05,Medium
night,isolated,6,no,low,low,1.16,High
night,isolated,2,no,low,low,3.57,High
evening,isolated,7,yes,medium,medium,1.11,Medium
night,rural,10,no,medium,high,2.76,High
afternoon,rural,4,no,high,low,0.92,Medium
morning,isolated,9,no,high,high,1.05,Medium
morning,urban,7,no,medium,low,3.69,High
morning,isolated,4,no,low,low,4.4,High
morning,urban,9,no,medium,low,2.21,High
afternoon,rural,10,no,medium,high,4.93,High
night,isolated,0,yes,high,medium,2.32,Medium
evening,isolated,5,yes,medium,low,1.32,Medium
evening,urban,8,no,medium,medium,0.7,Medium
night,isolated,7,yes,medium,high,4.42,High
morning,urban,6,yes,low,low,0.69,Medium
night,urban,3,yes,medium,high,1.19,Low
afternoon,urban,7,no,high,medium,1.94,Medium
night,rural,6,no,high,medium,0.88,High
afternoon,rural,3,no,medium,low,3.72,Medium
night,urban,9,no,high,medium,2.67,High
evening,urban,0,yes,high,low,1.55,Low
night,urban,3,no,low,low,3.09,High
evening,rural,1,no,low,high,2.27,Medium
evening,urban,0,no,low,low,1.44,Medium
afternoon,rural,7,no,high,low,3.29,High
afternoon,urban,7,no,medium,medium,2.91,Medium
afternoon,rural,6,no,high,medium,0.91,Medium
evening,rural,9,yes,low,high,1.61,Medium
evening,rural,6,yes,low,medium,3.03,High
night,isolated,3,yes,high,high,2.3,Low
morning,urban,5,yes,high,medium,4.45,Low
night,rural,4,no,medium,medium,3.46,High
evening,urban,2,no,low,medium,2.27,Medium
evening,isolated,0,yes,low,high,0.99,Low
afternoon,rural,7,yes,medium,medium,4.32,Medium
evening,urban,3,yes,low,low,2.87,Medium
night,rural,9,no,high,low,5.0,High
evening,isolated,5,yes,high,medium,1.63,Low
evening,urban,9,no,low,low,3.78,High
night,rural,8,yes,medium,medium,3.91,High
evening,urban,2,no,low,high,1.04,Medium
afternoon,urban,0,no,medium,low,2.62,Medium
night,urban,3,no,high,high,0.85,Medium
night,rural,4,no,low,high,2.85,High
morning,isolated,10,no,medium,medium,3.65,High
night,rural,7,yes,medium,high,2.57,Medium
morning,isolated,7,yes,medium,medium,0.86,Low
morning,urban,1,yes,low,low,4.36,Medium
night,urban,9,yes,high,high,0.99,Medium
night,urban,7,no,high,high,3.79,High
evening,urban,5,no,medium,low,3.09,High
morning,rural,6,yes,medium,high,3.92,Medium
afternoon,urban,9,no,high,low,4.58,High
evening,urban,4,no,low,medium,1.95,Medium
morning,urban,8,no,medium,medium,1.12,Medium
morning,rural,8,no,low,low,1.72,High
evening,rural,2,no,high,medium,2.3,Medium
night,isolated,1,yes,medium,low,2.23,Medium
night,urban,0,no,low,high,2.44,High
evening,rural,9,yes,medium,low,0.39,Medium
evening,rural,0,no,medium,low,0.91,Medium
evening,isolated,0,yes,high,medium,1.11,Low
night,urban,10,no,low,low,3.25,High
night,isolated,6,yes,low,medium,4.86,High
morning,urban,2,yes,medium,low,0.68,Low
night,rural,3,yes,medium,low,1.28,Medium
morning,urban,1,no,low,medium,2.27,Medium
morning,urban,2,yes,low,low,4.36,Medium
morning,rural,10,yes,low,medium,4.9,High
evening,urban,7,yes,low,medium,2.57,Medium
morning,isolated,4,yes,low,medium,4.51,Medium
afternoon,isolated,7,yes,low,low,3.52,High
evening,urban,4,no,medium,medium,2.57,Medium
evening,isolated,4,no,high,low,0.7,Medium
morning,isolated,6,no,low,low,0.82,High
morning,isolated,4,yes,low,medium,0.32,Low
morning,rural,0,no,low,medium,0.84,Medium
morning,urban,1,no,medium,high,0.7,Low
afternoon,isolated,3,yes,high,medium,1.4,Low
evening,rural,7,yes,low,high,0.68,Medium
morning,isolated,5,yes,low,high,1.92,Low
night,rural,3,yes,low,medium,2.53,Medium
evening,rural,1,yes,medium,low,1.29,Low
evening,rural,3,yes,medium,high,4.63,Low
morning,isolated,7,yes,low,medium,3.56,Medium
afternoon,rural,8,no,low,high,3.9,High
night,rural,0,no,medium,medium,4.66,High
night,urban,6,no,medium,low,3.69,High
evening,isolated,8,yes,medium,low,3.89,High
afternoon,urban,7,yes,medium,low,1.5,Medium
evening,urban,10,no,medium,high,0.8,Medium
evening,rural,2,yes,low,high,1.23,Low
evening,isolated,8,no,medium,high,3.53,High
morning,rural,7,yes,low,high,0.36,Low
night,isolated,0,no,high,medium,0.81,Medium
night,rural,1,yes,medium,low,3.64,High
evening,urban,0,yes,medium,low,2.32,Medium
morning,rural,8,no,medium,low,2.7,High
morning,urban,10,yes,high,low,0.53,Medium
night,urban,8,yes,low,high,1.94,Medium
afternoon,rural,2,no,high,low,0.69,Low
evening,rural,2,no,medium,high,4.52,Medium
afternoon,urban,5,yes,low,low,1.37,Medium
evening,rural,2,no,high,high,1.2,Low
evening,urban,0,yes,low,low,4.67,Medium
afternoon,isolated,8,no,medium,high,3.96,Medium
night,urban,9,no,high,high,4.62,High
morning,urban,5,yes,high,medium,3.0,Low
night,isolated,7,no,medium,medium,0.64,High
evening,rural,6,no,low,medium,1.14,High
morning,rural,5,yes,high,high,2.93,Low
night,rural,3,no,medium,high,4.98,High
morning,rural,8,yes,medium,medium,4.65,Medium
morning,rural,3,no,low,medium,0.37,Medium
morning,urban,6,no,low,low,3.58,High
night,isolated,0,yes,high,medium,3.22,Medium
night,urban,9,no,medium,medium,3.4,High
evening,isolated,1,no,high,medium,1.76,Low
morning,isolated,1,no,medium,low,0.59,Medium
evening,rural,4,yes,low,low,1.73,Medium
afternoon,isolated,8,no,medium,high,3.89,Medium
evening,urban,8,no,medium,low,1.45,High
evening,rural,0,no,high,medium,0.84,Low
morning,rural,6,no,high,medium,3.86,Medium
night,rural,3,yes,low,high,3.88,Medium
night,urban,9,no,high,low,3.07,High
night,isolated,1,no,high,low,4.74,High
morning,rural,0,no,medium,medium,3.81,Medium
afternoon,urban,10,yes,medium,high,3.81,Medium
evening,isolated,9,yes,medium,low,3.43,High
morning,rural,10,yes,low,low,3.33,High
morning,rural,5,yes,low,high,3.87,Medium
afternoon,urban,5,no,medium,high,0.24,Low
morning,isolated,8,no,high,medium,2.02,Medium
evening,rural,10,no,high,medium,1.69,Medium
afternoon,rural,3,no,low,medium,2.01,Medium
evening,rural,1,yes,low,high,2.76,Low
afternoon,urban,1,yes,high,high,2.16,Low
night,rural,7,no,medium,low,3.24,High
night,isolated,5,no,high,low,3.3,High
evening,urban,7,no,low,high,4.27,High
afternoon,urban,8,yes,low,low,2.82,Medium
morning,rural,9,no,medium,low,4.77,High
afternoon,isolated,8,no,low,high,4.5,High
night,isolated,7,no,low,medium,2.15,High
evening,rural,9,yes,low,low,1.09,High
evening,isolated,0,yes,low,high,1.62,Low
morning,isolated,1,no,low,high,4.5,Medium
afternoon,rural,4,yes,high,medium,1.82,Low
morning,isolated,2,yes,low,high,1.38,Low
night,isolated,1,no,low,medium,0.67,High
evening,urban,9,yes,high,low,1.71,Medium
night,urban,3,yes,high,low,1.29,Medium
night,rural,3,no,medium,low,1.36,High
evening,urban,6,no,medium,low,4.76,High
night,urban,9,no,high,high,1.46,High
morning,isolated,7,no,high,high,1.99,Low
morning,urban,3,no,low,medium,4.64,Medium
evening,isolated,10,no,high,low,4.89,High
morning,urban,0,yes,medium,medium,1.11,Low
evening,rural,6,yes,medium,medium,1.37,Medium
evening,urban,2,yes,low,high,0.46,Low
evening,isolated,8,no,low,low,0.41,High
night,isolated,2,no,low,high,3.77,High
night,rural,8,yes,high,medium,2.6,Medium
morning,isolated,4,yes,low,medium,0.57,Low
night,urban,8,yes,medium,high,2.1,Medium
night,isolated,0,no,medium,high,1.92,Medium
afternoon,isolated,0,no,medium,medium,4.76,Medium
evening,isolated,7,yes,medium,high,3.65,Medium
night,isolated,2,no,high,high,4.75,Medium
afternoon,isolated,1,no,medium,low,0.61,Medium
morning,rural,3,yes,low,medium,1.51,Low
night,rural,4,no,medium,high,0.68,Medium
morning,rural,1,yes,medium,medium,1.36,Low
evening,rural,5,yes,high,medium,3.84,Medium
night,urban,2,no,high,medium,1.63,Medium
morning,isolated,2,no,high,low,2.19,Medium
morning,urban,1,yes,low,medium,1.95,Low
afternoon,rural,4,yes,medium,medium,1.43,Low
evening,urban,9,yes,medium,medium,0.69,Medium
night,rural,0,yes,high,high,1.93,Low
afternoon,urban,7,no,low,low,3.34,High
afternoon,isolated,2,yes,low,medium,0.66,Low
morning,urban,2,no,medium,high,4.03,Medium
evening,rural,2,yes,low,low,3.73,Medium
morning,isolated,3,yes,high,low,4.2,Low
afternoon,rural,9,yes,low,high,4.18,Medium
afternoon,urban,5,no,medium,low,1.19,Medium
evening,isolated,6,no,low,low,3.06,High
afternoon,urban,5,yes,high,high,4.87,Low
night,rural,2,yes,high,high,3.44,Medium
evening,rural,1,yes,high,medium,4.54,Low
night,isolated,4,no,high,high,2.5,Medium
morning,isolated,6,yes,medium,high,1.43,Low
afternoon,isolated,2,no,high,medium,4.86,Medium
afternoon,urban,7,no,low,low,0.49,High
morning,rural,4,no,medium,low,4.57,High
night,rural,8,yes,high,high,1.84,Medium
evening,isolated,5,yes,medium,medium,2.31,Medium
afternoon,rural,3,yes,medium,medium,1.94,Low
night,rural,1,yes,low,medium,1.97,Medium
night,urban,3,no,medium,high,2.95,Medium
night,rural,2,no,high,high,4.05,Medium
evening,urban,10,yes,high,medium,2.86,Medium
evening,urban,8,yes,high,low,1.59,Medium
evening,urban,2,yes,medium,high,2.56,Low
night,rural,0,yes,low,medium,0.62,Medium
morning,isolated,6,yes,medium,low,1.85,Medium
night,urban,6,no,low,high,4.16,High
evening,isolated,7,no,low,medium,1.22,High
afternoon,rural,3,no,low,medium,2.29,Medium
evening,urban,0,no,low,high,1.06,Medium
evening,rural,5,no,medium,medium,1.81,Medium
morning,urban,3,yes,low,high,2.51,Low
morning,rural,0,yes,low,high,0.48,Low
evening,urban,8,no,low,high,1.43,Medium
morning,rural,6,no,low,low,2.29,High
night,isolated,0,no,high,low,0.73,Medium
evening,rural,6,yes,low,medium,4.91,High
night,urban,3,no,medium,medium,2.1,High
evening,isolated,6,yes,medium,high,4.37,Medium
afternoon,urban,5,no,low,low,0.55,Medium
night,isolated,9,yes,medium,high,1.29,Medium
morning,rural,7,yes,medium,medium,4.46,Medium
night,urban,4,no,low,high,0.75,High
afternoon,isolated,2,no,low,low,4.68,High
afternoon,rural,0,yes,low,medium,1.09,Low
morning,urban,6,yes,medium,medium,4.03,Medium
night,rural,0,yes,low,medium,4.49,High
night,rural,2,yes,medium,medium,4.52,Medium
night,rural,10,yes,medium,high,2.46,High
afternoon,rural,7,no,medium,low,0.69,Medium
morning,isolated,1,no,low,low,4.51,High
evening,rural,3,yes,low,low,1.66,Medium
evening,urban,5,yes,low,low,3.46,High
evening,rural,9,yes,low,low,2.29,High
evening,isolated,2,yes,high,high,3.29,Low
morning,isolated,8,no,medium,low,3.71,High
evening,isolated,8,yes,medium,low,3.69,High
afternoon,isolated,4,yes,medium,medium,1.37,Low
night,isolated,8,yes,medium,medium,3.65,High
evening,urban,3,yes,medium,low,0.96,Low
evening,urban,7,yes,medium,low,0.32,Medium
night,rural,7,yes,medium,low,1.64,High
afternoon,rural,0,yes,medium,medium,1.96,Low
evening,isolated,10,no,medium,medium,3.87,High
afternoon,rural,1,yes,high,high,4.89,Low
night,rural,2,no,medium,high,2.78,Medium
afternoon,rural,1,yes,low,medium,3.99,Medium
afternoon,rural,0,yes,medium,low,2.73,Low
night,rural,10,yes,high,high,1.85,Medium
night,isolated,9,yes,low,medium,0.7,High
evening,rural,8,no,medium,high,2.2,Medium
morning,isolated,4,no,medium,low,3.29,High
afternoon,isolated,8,yes,high,high,2.14,Low
evening,urban,7,no,low,low,3.32,High
morning,rural,10,yes,medium,medium,3.58,Medium
morning,urban,2,no,high,low,2.28,Medium
night,rural,8,yes,high,low,2.97,High
evening,urban,3,no,medium,high,1.66,Low
night,rural,10,no,low,high,2.45,High
evening,isolated,6,yes,medium,low,4.55,High
evening,isolated,5,yes,high,medium,0.7,Low
afternoon,isolated,0,no,medium,medium,4.84,Medium
evening,rural,6,yes,low,high,4.62,Medium
afternoon,isolated,10,yes,low,medium,1.27,Medium
evening,urban,9,yes,high,medium,1.09,Medium
night,urban,9,no,high,high,2.26,High
afternoon,isolated,1,yes,low,medium,3.9,Medium
morning,isolated,8,no,low,medium,2.17,High
morning,urban,3,no,high,high,1.9,Low
morning,isolated,8,yes,high,high,4.62,Low
night,urban,1,no,medium,low,2.01,High
evening,isolated,9,yes,low,high,4.54,High
morning,isolated,3,yes,medium,high,0.82,Low
night,rural,4,no,low,high,3.21,High
night,isolated,4,no,low,low,3.3,High
afternoon,urban,7,no,high,high,4.34,Medium
morning,urban,4,yes,low,medium,4.58,Medium
afternoon,rural,8,yes,high,low,1.41,Low
evening,rural,0,no,low,high,2.52,Medium
evening,rural,9,no,low,medium,3.32,High
evening,isolated,2,yes,medium,high,4.75,Low
evening,urban,8,no,low,low,2.48,High
night,isolated,7,yes,high,medium,1.11,Medium
morning,urban,7,yes,low,high,2.52,Medium
evening,rural,7,no,high,medium,4.99,High
afternoon,urban,2,yes,medium,medium,0.92,Low
afternoon,rural,7,no,low,high,0.47,Medium
night,isolated,1,yes,high,high,3.6,Medium
morning,urban,4,yes,low,high,1.31,Low
night,rural,6,no,medium,low,0.39,High
afternoon,isolated,5,yes,medium,high,3.68,Low
evening,isolated,4,no,high,high,3.76,Medium
afternoon,urban,1,yes,low,low,1.85,Low
night,rural,1,no,medium,high,1.21,Medium
afternoon,isolated,8,no,low,medium,4.06,High
evening,isolated,6,yes,medium,low,3.17,High
night,urban,6,yes,high,low,1.32,Medium
night,urban,3,yes,high,high,1.9,Low
afternoon,rural,2,yes,low,high,4.01,Low
morning,rural,5,yes,high,low,0.4,Low
morning,urban,5,yes,high,high,2.58,Low
night,isolated,0,no,high,low,4.32,High
night,urban,7,no,medium,high,2.61,High
night,urban,2,no,medium,medium,4.08,High
evening,isolated,2,yes,medium,medium,1.48,Low
morning,urban,9,yes,medium,high,2.89,Medium
afternoon,isolated,8,no,medium,low,0.23,Medium
evening,urban,6,yes,high,high,2.6,Low
evening,urban,4,no,high,medium,3.97,Medium
night,isolated,3,no,medium,high,3.9,High
morning,urban,7,yes,high,medium,4.7,Medium
evening,urban,9,yes,medium,high,0.73,Medium
night,rural,4,yes,high,low,2.05,Medium
evening,rural,9,yes,medium,medium,4.81,High
night,urban,6,yes,medium,low,1.64,High
morning,isolated,7,no,low,low,4.33,High
morning,isolated,0,yes,medium,medium,3.09,Low
night,urban,3,yes,medium,high,2.32,Medium
evening,urban,7,yes,low,high,2.44,Medium
afternoon,isolated,1,yes,medium,medium,1.33,Low
evening,isolated,7,yes,low,medium,2.94,Medium
night,urban,4,no,high,high,0.9,Medium
morning,isolated,1,no,high,low,2.48,Medium
night,rural,4,no,low,low,1.22,High
evening,rural,2,no,high,medium,1.3,Low
night,urban,3,yes,medium,medium,1.14,Medium
evening,isolated,6,yes,low,high,1.88,Medium
evening,urban,9,yes,medium,low,2.79,High
night,rural,2,no,high,low,0.52,Medium
afternoon,isolated,1,yes,low,low,1.19,Low
evening,rural,10,no,low,medium,0.59,High
afternoon,isolated,3,no,high,low,3.44,Medium
morning,urban,9,yes,low,high,3.76,Medium
night,isolated,3,yes,medium,low,4.29,High
evening,isolated,10,no,low,high,3.86,High
evening,rural,9,yes,low,low,2.6,High
afternoon,urban,4,yes,high,low,3.4,Medium
night,urban,4,no,high,high,2.63,Medium
night,urban,4,no,medium,medium,4.6,High
afternoon,rural,9,no,medium,low,1.21,High
afternoon,rural,1,yes,medium,high,0.72,Low
night,urban,0,no,medium,medium,2.65,High
night,urban,4,yes,low,medium,3.85,High
afternoon,urban,7,yes,medium,high,3.21,Medium
morning,rural,8,yes,medium,high,1.61,Low
morning,rural,3,yes,medium,high,4.92,Low
afternoon,isolated,9,yes,high,high,0.61,Low
night,urban,5,yes,low,medium,0.95,Medium
afternoon,rural,3,yes,low,medium,0.23,Low
morning,urban,0,yes,low,low,1.19,Low
night,rural,10,yes,high,high,1.27,Medium
evening,urban,2,no,medium,low,4.46,High
afternoon,urban,2,yes,high,low,3.87,Low
night,rural,7,yes,low,low,2.03,High
night,urban,7,yes,medium,low,1.01,High
afternoon,urban,7,no,low,high,1.31,Medium
morning,rural,6,no,low,low,0.27,High
afternoon,rural,9,no,low,medium,4.8,High
afternoon,rural,8,yes,low,low,1.87,Medium
evening,isolated,5,no,medium,medium,3.52,High
night,isolated,2,yes,high,medium,0.88,Low
night,isolated,5,yes,medium,medium,0.69,Medium
afternoon,urban,0,yes,high,medium,2.65,Low
afternoon,urban,0,yes,high,medium,4.29,Low
afternoon,isolated,9,no,high,medium,4.94,High
evening,urban,1,no,low,medium,4.1,High
afternoon,rural,1,yes,low,high,1.62,Low
night,rural,3,no,medium,high,0.93,Medium
evening,rural,9,yes,low,high,0.98,Medium
evening,isolated,1,yes,medium,high,2.81,Low
evening,rural,0,no,low,high,4.36,Medium
night,isolated,9,no,high,medium,3.17,High
night,isolated,8,yes,medium,high,0.65,Medium
morning,rural,4,yes,high,medium,0.99,Low
morning,isolated,7,no,high,high,0.79,Low
afternoon,urban,5,yes,medium,high,2.44,Low
night,urban,0,no,low,low,0.68,High
evening,urban,2,no,low,low,1.32,Medium
afternoon,rural,9,yes,low,low,4.42,High
night,urban,4,no,medium,high,0.83,Medium
morning,isolated,1,no,medium,high,4.68,Medium
morning,isolated,10,no,high,low,3.01,High
night,urban,2,no,high,low,1.22,Medium
evening,urban,8,no,low,low,1.06,High
night,urban,9,no,low,high,0.58,High
night,isolated,7,no,medium,high,2.66,High
afternoon,rural,3,no,medium,low,1.28,Medium
afternoon,rural,1,no,high,high,2.97,Low
afternoon,rural,10,yes,low,low,3.56,High
night,isolated,4,no,medium,medium,0.42,High
morning,isolated,0,no,low,high,2.22,Medium
afternoon,rural,0,no,low,low,4.77,High
afternoon,rural,1,no,medium,medium,0.95,Low
morning,rural,1,no,low,low,1.63,Medium
evening,rural,4,yes,medium,low,2.75,Medium
afternoon,urban,3,no,high,medium,0.5,Low
evening,isolated,9,no,high,medium,0.35,Medium
afternoon,rural,10,no,low,high,4.73,High
evening,urban,2,yes,high,high,3.28,Low
morning,isolated,1,yes,medium,medium,4.61,Low
evening,urban,1,no,high,medium,2.43,Medium
morning,isolated,2,no,medium,low,2.29,Medium
evening,rural,4,no,medium,high,4.54,Medium
evening,urban,5,no,low,medium,3.36,High
morning,isolated,6,no,high,high,4.72,Medium
night,urban,10,yes,medium,high,0.29,Medium
night,isolated,7,no,low,high,1.03,High
afternoon,urban,7,no,high,medium,0.52,Medium
afternoon,urban,7,no,low,medium,4.41,High
evening,isolated,1,yes,medium,medium,2.63,Low
night,urban,10,no,low,medium,3.42,High
morning,rural,4,yes,high,low,1.49,Low
morning,rural,4,no,medium,low,4.05,High
evening,rural,6,yes,low,low,2.61,High
morning,isolated,5,yes,low,medium,2.51,Medium
afternoon,urban,9,yes,low,high,4.45,Medium
morning,isolated,3,no,high,medium,0.66,Low
afternoon,urban,1,no,medium,medium,2.38,Medium
night,rural,6,no,high,medium,1.11,High
night,urban,7,yes,medium,medium,0.67,Medium
night,isolated,9,yes,low,medium,3.23,High
morning,rural,3,yes,high,low,0.46,Low
morning,rural,1,yes,medium,medium,3.67,Low
night,urban,2,no,low,high,0.22,Medium
morning,isolated,4,yes,medium,low,0.71,Low
night,isolated,5,yes,medium,medium,3.62,High
night,rural,1,yes,low,high,4.96,Medium
morning,urban,1,yes,medium,medium,0.95,Low
morning,isolated,2,yes,high,high,4.15,Low
evening,urban,9,yes,low,high,4.63,High
night,isolated,2,no,high,high,2.32,Medium
morning,rural,3,yes,high,high,3.2,Low
night,isolated,8,yes,high,medium,4.15,High
afternoon,rural,2,yes,low,low,3.06,Medium
night,isolated,2,yes,high,low,3.53,Medium
night,urban,1,no,medium,medium,4.12,High
night,isolated,4,no,high,high,0.46,Medium
morning,isolated,9,yes,medium,high,4.21,Medium
night,rural,5,yes,high,medium,2.01,Medium
evening,isolated,0,yes,high,low,1.77,Low
evening,rural,1,yes,low,low,4.05,Medium
morning,urban,1,yes,low,medium,0.48,Low
afternoon,rural,10,no,medium,low,1.42,High
afternoon,isolated,2,no,medium,high,4.88,Medium
afternoon,isolated,8,no,medium,medium,4.66,High
night,urban,5,no,medium,high,1.9,Medium
morning,isolated,9,no,high,low,4.02,High
afternoon,urban,9,yes,low,medium,4.6,High
night,urban,9,yes,medium,low,1.24,High
afternoon,rural,6,no,low,low,1.4,High
morning,urban,8,yes,medium,low,1.67,Medium
morning,urban,8,yes,medium,high,4.45,Medium
evening,urban,3,yes,high,high,4.7,Low
night,isolated,8,no,high,high,0.93,Medium
evening,urban,0,no,low,low,1.73,Medium
evening,rural,9,no,medium,medium,3.16,High
afternoon,urban,10,no,medium,low,2.69,High
evening,isolated,8,yes,high,high,1.6,Low
evening,urban,5,no,low,low,3.84,High
morning,urban,0,yes,high,low,2.2,Low
night,rural,1,no,medium,low,3.23,High
afternoon,isolated,4,yes,low,low,3.8,Medium
night,isolated,10,no,low,high,1.34,High
evening,urban,10,no,low,low,4.51,High
morning,rural,7,yes,low,medium,0.26,Medium
morning,urban,7,no,medium,low,0.71,Medium
night,urban,2,no,medium,high,3.34,High
morning,rural,5,no,high,medium,0.39,Low
night,urban,5,no,high,medium,4.8,High
evening,rural,9,no,high,high,0.62,Medium
afternoon,rural,0,no,high,high,4.51,Low
afternoon,isolated,6,yes,low,low,3.74,High
evening,urban,5,yes,high,medium,3.1,Medium
night,urban,4,no,low,medium,3.87,High
afternoon,isolated,6,yes,low,high,3.78,Medium
morning,isolated,10,no,low,high,1.91,Medium
evening,urban,6,no,medium,medium,0.36,Medium
evening,rural,0,no,medium,medium,0.67,Medium
night,urban,4,no,medium,low,2.64,High
afternoon,isolated,10,no,high,low,4.01,High
evening,urban,4,yes,high,low,3.41,Medium
morning,rural,10,no,low,high,1.84,Medium
night,urban,7,no,medium,low,4.27,High
afternoon,urban,7,yes,medium,low,3.6,Medium
afternoon,urban,1,no,medium,low,1.62,Medium
night,isolated,9,no,low,high,3.91,High
evening,isolated,10,no,low,high,3.21,High
morning,urban,4,no,low,low,0.71,Medium
morning,rural,0,no,low,high,1.54,Low
afternoon,isolated,10,no,low,high,1.33,Medium
morning,rural,10,yes,medium,low,3.65,High
afternoon,rural,2,no,medium,high,1.79,Low
afternoon,rural,10,yes,low,medium,1.46,Medium
